COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL
Collier,375443,82542404972.0,217526620.0,2631.33856752,332563613.0556036,98.85459751829461,Relatively High,88.05970149253731,99.04054472299597,Relatively High,89.55223880597015,307633018.9009931,282267755.27735806,1.741592662983164,20202474.890604734,5162788.733030908,0.00341967,4.63877e-06,0.023734055,93.50046425255339
Columbia,69648,9521266154.0,46090449.0,809.40767076,26993265.23978992,84.95068405981546,Relatively Moderate,34.32835820895522,80.34664190653048,Relatively Low,32.83582089552239,18703149.65678841,15241223.097286692,0.249010048,2888516.56087198,573409.9986297513,0.001600756,3.57526e-06,0.012440972,78.39678118229651
DeSoto,33898,5358888364.0,193022177.0,645.55738221,46957763.08997539,90.42316258351893,Relatively Moderate,47.76119402985074,86.50572578149179,Relatively Moderate,41.7910447761194,28463944.15750389,22445902.830497593,0.170084715,1972982.6925009328,4045058.634505401,0.004188537,5.01754e-06,0.020956445,94.61467038068709
Dixie,16706,1943158186.0,12408635.0,1053.92706978,11202510.418637492,67.86509704104358,Relatively Low,11.940298507462686,60.60043330238316,Relatively Low,11.940298507462686,7755451.163899657,6818722.403547441,0.069482239,805993.9700311375,130734.79032107595,0.003509093,4.15912e-06,0.010535791,90.74589910244507
Duval,994675,158486190156.0,10351057.0,927.73559307,218096248.0836287,97.83646197900096,Relatively High,77.61194029850746,98.0191891055401,Relatively High,80.59701492537313,183785474.79049408,148395209.11624902,3.046690270552093,35341607.13840391,48658.53584095141,0.000936329,3.063e-06,0.004700828,60.136180748994114
Escambia,321367,51114371848.0,30902401.0,1137.07483968,218729166.62679195,97.86827871460389,Relatively High,79.10447761194031,97.98823893531414,Relatively High,79.10447761194031,182542757.9522169,167031570.4866887,1.290002410245952,14964027.958853053,547159.5066750463,0.003267801,4.01411e-06,0.017706052,91.76725471990096
Flagler,115270,17056458226.0,16416130.0,576.5910949500001,36696763.21248466,88.35507476932867,Relatively Moderate,40.298507462686565,87.92943361188486,Relatively Moderate,44.776119402985074,32273241.138381995,27454463.634996116,0.396357432,4597746.210628143,221031.29275776373,0.001609623,3.43851e-06,0.013464275,79.48003714020427
Franklin,12426,2829817130.0,43701.0,1435.95639993,12319093.314105295,70.66496977410117,Relatively Low,19.402985074626866,64.96440730424017,Relatively Low,17.91044776119403,9006501.892792564,8336600.549043032,0.057701355,669335.7226411407,565.6211083901185,0.002945986,4.6436e-06,0.012942979,92.16960693283812
Gadsden,43693,6497842906.0,103789654.0,533.86341216,20141011.67004436,80.05090677696467,Relatively Low,25.37313432835821,74.28040854224697,Relatively Low,25.37313432835821,13465789.967359852,8696958.100081928,0.261566479,3034171.158530203,1734660.7087477213,0.001338438,5.98646e-06,0.016713233,76.81832250077375
Gilchrist,17826,2020926195.0,102942683.0,358.82640846000004,6140616.374510258,49.06140629971365,Relatively Low,5.970149253731343,41.65892912411017,Very Low,4.477611940298507,4360783.689700579,2802318.32700329,0.047434612,550241.4969508068,1008223.8657464792,0.001386651,2.66098e-06,0.009794031,74.77561126586197
Glades,12052,2247458032.0,89739458.0,997.21178037,15430378.511560949,74.99204581609928,Relatively Low,22.388059701492537,66.01671309192201,Relatively Low,19.402985074626866,9398755.23074953,7171843.846905189,0.035689729,414000.8570178119,1812910.526826536,0.003191091,2.96131e-06,0.020201933,93.43856391210151
Gulf,14176,2743053361.0,1649328.0,802.57073091,16562517.026986256,76.26471524021635,Relatively Low,23.88059701492537,74.58991024450634,Relatively Low,26.86567164179105,13731958.305687256,12357659.425853148,0.116569601,1352207.3712845545,22091.508549568563,0.004505074,8.22302e-06,0.013394248,95.8217270194986
Hamilton,13941,2721079689.0,48599732.0,524.29625118,10223631.349956866,65.065224307986,Relatively Low,10.44776119402985,55.64840606623337,Relatively Low,10.44776119402985,6547044.526501844,5589860.885298863,0.042124408,488643.13685198623,468540.5043509904,0.00205428,3.02162e-06,0.009640804,86.32002476013618
Hardee,25302,3815820277.0,234766404.0,644.5800929100001,20383205.429674856,80.27362392618518,Relatively Low,26.86567164179105,73.81615598885793,Relatively Low,23.88059701492537,13137739.00511292,7581104.589186384,0.07321647,849311.0508573862,4707323.365069127,0.001986756,2.8937e-06,0.020051095,89.07458991024451
Hendry,39371,6080709522.0,377932199.0,1201.38523362,50748788.03864318,91.15494750238624,Relatively Moderate,49.25373134328358,86.01052305787684,Relatively Moderate,40.298507462686565,26888403.13851753,16125721.06634364,0.113454875,1316076.5517138275,9446605.520460056,0.002651947,2.88169e-06,0.024995503,92.97431135871248
