COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL
Franklin,96653,14028747907.0,724462329.0,1277.7286236,11410160.856776444,68.46961501749921,Relatively Low,38.46153846153847,62.055091303002165,Relatively Low,38.46153846153847,8112797.555752776,2269154.2119906135,0.423815243,4916256.818899669,927386.5248624837,0.00016175,4.38492e-06,0.001280103,19.18910554008047
Garfield,2285,601162308.0,42604709.0,725.53638846,333907.78408263484,0.827235126,Very Low,2.564102564102564,1.021355617455896,Very Low,2.564102564102564,321431.45361270965,191028.5165098318,0.010181201,118101.92767012662,12301.009432751136,0.000317765,4.45567e-06,0.000288724,22.531723924481582
Grant,98978,20093415172.0,2224003549.0,2819.62798494,21391752.945988566,80.97359210944957,Relatively Low,46.15384615384615,75.64221603218819,Relatively Low,43.58974358974359,14519389.29596048,5867809.009630313,0.480201967,5570342.8116240185,3081237.4747061436,0.000292026,4.8516e-06,0.001385446,22.965026307644692
Grays Harbor,75462,15664853722.0,38539056.0,2246.05092816,95188232.10258582,94.90932230353167,Relatively Moderate,87.17948717948718,94.181367997524,Relatively Moderate,84.61538461538461,73806688.71358909,37403524.204040155,3.13766590868861,36396924.540787876,6239.968761076519,0.002387735,4.15794e-05,0.000161913,98.7310430207366
Island,86855,17596951895.0,13768259.0,522.54723612,23359509.985905297,82.56442888959593,Relatively Low,53.84615384615385,83.65831012070566,Relatively Moderate,58.97435897435898,22811590.39074903,17110131.588880982,0.491486901,5701248.053570281,210.74829776800303,0.000972335,5.65871e-06,1.53068e-05,64.87155679356236
Jefferson,32896,6791976465.0,10611085.0,2209.98426792,8704982.580955783,60.642698059179125,Relatively Low,30.769230769230766,61.18848653667596,Relatively Low,35.8974358974359,7871419.664219685,5939122.6883628005,0.166533228,1931785.4493173135,511.5265395703889,0.000874432,5.06242e-06,4.82068e-05,59.795728876508825
King,2268178,470121116797.0,155375334.0,2330.7477815700004,882480942.3727884,99.6500159083678,Very High,100.0,99.65954812751468,Very High,100.0,774696343.7984833,558254959.4882035,18.654264823731285,216389471.95528293,51912.354996472786,0.001187471,8.22434e-06,0.000334109,77.15877437325905
Kitsap,275553,48560592868.0,7576394.0,571.54338657,88655078.04067647,94.52752147629653,Relatively Moderate,84.61538461538461,94.92417208294644,Relatively Moderate,87.17948717948718,82815856.44460672,55406445.779161766,2.362811452053747,27408612.843823455,797.8216214649894,0.001140975,8.5748e-06,0.000105304,76.26121943670691
Kittitas,44271,12834404940.0,95224773.0,2356.54107702,26276078.75777289,84.44161629016862,Relatively Moderate,56.41025641025641,85.85577220674713,Relatively Moderate,64.1025641025641,26623172.030819222,23785670.349798966,0.233038804,2703250.126838064,134251.55418219167,0.001853274,5.26392e-06,0.001409839,85.60817084493965
Klickitat,22707,5701477116.0,113756169.0,1923.65416425,10233378.869840432,65.09704104358893,Relatively Low,35.8974358974359,60.6313834726091,Relatively Low,33.33333333333333,7763216.697249115,6950203.483647541,0.058618228,679971.4405511912,133041.7730503769,0.001219018,2.5815e-06,0.001169535,74.58991024450634
Lewis,82036,16731896049.0,156377124.0,2460.94099134,57304602.48787406,92.17308304167992,Relatively Moderate,79.48717948717949,90.77684927267102,Relatively Moderate,76.92307692307693,42858894.05773201,31220704.926864244,1.001289876036806,11614962.562026951,23226.568840818665,0.001865939,1.22055e-05,0.000148529,90.03404518724854
Lincoln,10875,4294857076.0,149438016.0,2363.2779900600003,4400504.544009968,37.5119312758511,Very Low,15.384615384615383,39.05911482513154,Very Low,17.94871794871795,4083262.5788534144,3021706.4700724585,0.063305668,734345.7445142842,327210.36426667357,0.000703564,5.82121e-06,0.002189606,51.841535128443205
Mason,65689,12145586365.0,55664224.0,1061.65360041,26703227.605887413,84.66433343938911,Relatively Moderate,58.97435897435898,83.31785824822036,Relatively Low,56.41025641025641,22187205.90747117,15956648.554111455,0.536603746,6224603.454569356,5953.898790352677,0.001313782,8.16885e-06,0.000106961,78.92293407613742
Okanogan,42016,9411748625.0,387782762.0,5366.32661136,27079969.76335227,85.07795100222717,Relatively Moderate,61.53846153846153,80.19189105540082,Relatively Low,48.717948717948715,18517678.189641047,15790919.234195914,0.13416204,1556279.6691653798,1170479.2862797645,0.001677788,3.19312e-06,0.003018389,80.99659548127515
Pacific,23335,5438765294.0,44591358.0,1238.91997944,21567895.20306599,81.03722558065543,Relatively Low,48.717948717948715,79.66573816155989,Relatively Low,46.15384615384615,17738189.926794987,12964660.84007362,0.41110727,4768844.32995102,4684.756770334862,0.002383751,1.76176e-05,0.00010506,95.7288765088208
Pend Oreille,13347,2993902365.0,5426071.0,1439.88937833,1244099.8510911975,6.872414890232262,Very Low,7.692307692307693,7.118539151965336,Very Low,7.692307692307693,1056254.9339774917,530678.2143851724,0.044636873,517787.72747600346,7788.992116316191,0.000177253,3.34434e-06,0.001435476,11.296812132466728
Pierce,920483,160705164951.0,74410285.0,1823.68718376,310855534.24696666,98.72733057588293,Relatively High,97.43589743589745,98.66914268028472,Relatively High,97.43589743589745,265013593.82130024,197929963.95547333,5.782235017400974,67073926.20185129,9703.663975569725,0.001231634,6.28174e-06,0.000130408,73.04240173320953
San Juan,17695,6072266380.0,4727467.0,627.0851921100001,4937398.82674103,41.58447343302577,Very Low,20.51282051282051,45.65150108325596,Very Low,23.076923076923077,4822255.740654332,3865264.765313272,0.082419004,956060.4467367653,930.5286042936644,0.000636544,4.65776e-06,0.000196835,47.94181367997524
